author,n_comments,schema_version,api_calls,prompt_tokens,completion_tokens,total_tokens,api_calls_exclude_retries,prompt_tokens_exclude_retries,completion_tokens_exclude_retries,total_tokens_exclude_retries,api_calls_retry_only,prompt_tokens_retry_only,completion_tokens_retry_only,total_tokens_retry_only
pers1,67,2,603,1033567,363406,1396973,603,1033567,363406,1396973,0,0,0,0
pers10,46,2,414,1044404,285975,1330379,414,1044404,285975,1330379,0,0,0,0
pers100,12,2,108,93490,36858,130348,108,93490,36858,130348,0,0,0,0
pers101,11,2,99,87241,50556,137797,99,87241,50556,137797,0,0,0,0
pers102,26,2,234,292269,120690,412959,234,292269,120690,412959,0,0,0,0
pers103,6,2,54,40422,16543,56965,54,40422,16543,56965,0,0,0,0
pers104,84,2,756,1855520,547359,2402879,756,1855520,547359,2402879,0,0,0,0
pers105,13,2,117,107804,41913,149717,117,107804,41913,149717,0,0,0,0
pers106,10,2,90,74646,29186,103832,90,74646,29186,103832,0,0,0,0
pers107,40,2,360,1307459,311517,1618976,360,1307459,311517,1618976,0,0,0,0
pers108,38,2,342,450032,167396,617428,342,450032,167396,617428,0,0,0,0
pers109,3,2,27,20313,8427,28740,27,20313,8427,28740,0,0,0,0
pers11,60,2,540,842670,283647,1126317,540,842670,283647,1126317,0,0,0,0
pers110,15,2,135,141181,53224,194405,135,141181,53224,194405,0,0,0,0
pers111,17,2,153,156429,74632,231061,153,156429,74632,231061,0,0,0,0
pers112,28,2,252,298657,110073,408730,252,298657,110073,408730,0,0,0,0
pers113,20,2,180,227434,98197,325631,180,227434,98197,325631,0,0,0,0
pers114,14,2,126,118365,46237,164602,126,118365,46237,164602,0,0,0,0
pers115,9,2,81,67552,35479,103031,81,67552,35479,103031,0,0,0,0
pers116,20,2,180,192027,70565,262592,180,192027,70565,262592,0,0,0,0
pers117,18,2,162,150721,58610,209331,162,150721,58610,209331,0,0,0,0
pers118,6,2,54,40356,18701,59057,54,40356,18701,59057,0,0,0,0
pers119,21,2,189,230112,79814,309926,189,230112,79814,309926,0,0,0,0
pers12,73,2,657,1345999,402359,1748358,657,1345999,402359,1748358,0,0,0,0
pers120,12,2,108,106952,38902,145854,108,106952,38902,145854,0,0,0,0
pers121,96,2,864,1962180,617275,2579455,864,1962180,617275,2579455,0,0,0,0
pers122,14,2,126,110801,43455,154256,126,110801,43455,154256,0,0,0,0
pers123,14,2,126,109993,52414,162407,126,109993,52414,162407,0,0,0,0
pers124,47,2,423,660163,222874,883037,423,660163,222874,883037,0,0,0,0
pers125,18,2,162,179026,76857,255883,162,179026,76857,255883,0,0,0,0
pers126,31,2,279,308160,111944,420104,279,308160,111944,420104,0,0,0,0
pers127,6,2,54,41896,16662,58558,54,41896,16662,58558,0,0,0,0
pers128,4,2,36,26801,19109,45910,36,26801,19109,45910,0,0,0,0
pers129,33,2,297,369486,136450,505936,297,369486,136450,505936,0,0,0,0
pers13,70,2,630,1257322,370449,1627771,630,1257322,370449,1627771,0,0,0,0
pers130,25,2,225,258045,93276,351321,225,258045,93276,351321,0,0,0,0
pers131,14,2,126,112169,59602,171771,126,112169,59602,171771,0,0,0,0
pers132,13,2,117,104480,41202,145682,117,104480,41202,145682,0,0,0,0
pers133,12,2,108,98934,39531,138465,108,98934,39531,138465,0,0,0,0
pers134,45,2,405,572859,275455,848314,405,572859,275455,848314,0,0,0,0
pers135,4,2,36,28034,11555,39589,36,28034,11555,39589,0,0,0,0
pers136,14,2,126,121652,47489,169141,126,121652,47489,169141,0,0,0,0
pers137,19,2,171,168592,80268,248860,171,168592,80268,248860,0,0,0,0
pers138,6,2,54,42157,16523,58680,54,42157,16523,58680,0,0,0,0
pers139,17,2,153,153362,58497,211859,153,153362,58497,211859,0,0,0,0
pers14,60,2,540,937517,338715,1276232,540,937517,338715,1276232,0,0,0,0
pers140,5,2,45,33035,21497,54532,45,33035,21497,54532,0,0,0,0
pers141,12,2,108,97499,54065,151564,108,97499,54065,151564,0,0,0,0
pers142,7,2,63,47767,27999,75766,63,47767,27999,75766,0,0,0,0
pers143,16,2,144,141277,53371,194648,144,141277,53371,194648,0,0,0,0
pers144,29,2,261,348756,117598,466354,261,348756,117598,466354,0,0,0,0
pers145,42,2,378,554502,217128,771630,378,554502,217128,771630,0,0,0,0
pers146,17,2,153,156761,80579,237340,153,156761,80579,237340,0,0,0,0
pers147,18,2,162,159095,67837,226932,162,159095,67837,226932,0,0,0,0
pers148,12,2,108,98701,39804,138505,108,98701,39804,138505,0,0,0,0
pers149,8,2,72,59713,32270,91983,72,59713,32270,91983,0,0,0,0
pers15,37,2,333,468832,185521,654353,333,468832,185521,654353,0,0,0,0
