bin_index,n,x_mean,y_mean,x_min,x_max
0,10,59.2,25652.7,31,76
1,10,92.5,35007.4,78,101
2,10,114.1,40837.7,101,127
3,10,142.8,56193.0,132,155
4,10,165.0,55196.1,155,172
5,10,179.6,74491.4,173,190
6,10,199.2,77226.6,190,210
7,10,216.9,94903.1,210,220
8,10,225.9,91717.5,220,232
9,10,241.7,98449.8,234,249
10,10,254.2,96858.2,250,264
11,10,275.0,114501.3,266,283
12,10,293.0,114162.8,285,304
13,10,311.1,135868.7,307,313
14,10,331.5,138552.2,320,341
15,10,353.1,157486.0,345,364
16,10,371.1,162565.6,364,381
17,10,397.6,157351.1,382,411
18,10,426.4,180464.0,416,439
19,10,457.0,205919.9,441,468
20,10,494.5,237428.6,468,525
21,10,554.2,216441.8,525,584
22,10,650.3,305403.5,594,698
23,10,795.5,480632.6,719,836
24,10,896.9,564839.5,849,1006
25,10,1154.1,945006.2,1044,1230
26,10,1296.0,1046038.2,1240,1346
27,10,1476.9,1215344.3,1375,1643
28,10,1826.9,2001971.4,1706,1970
29,10,2843.1,2355995.3,2053,5879
