bin_index,n,x_mean,y_mean,x_min,x_max
0,10,3.4,22983.9,2,4
1,10,4.5,30791.5,4,5
2,10,5.9,41091.4,5,6
3,10,7.0,51908.0,6,8
4,10,8.0,59705.4,8,8
5,10,8.7,64993.9,8,9
6,10,9.7,75684.0,9,10
7,10,10.4,82778.4,10,11
8,10,11.4,93525.9,11,12
9,10,12.0,98929.4,12,12
10,10,12.4,105291.6,12,13
11,10,13.0,104411.7,13,13
12,10,13.8,115222.1,13,14
13,10,14.4,122861.3,14,15
14,10,15.2,132624.0,15,16
15,10,16.0,147571.5,16,16
16,10,16.9,155784.1,16,17
17,10,17.8,164667.7,17,18
18,10,18.6,173537.2,18,19
19,10,20.5,197332.0,20,21
20,10,22.2,211819.5,21,24
21,10,25.4,266362.2,24,27
22,10,29.8,318666.6,27,33
23,10,36.7,536298.2,33,42
24,10,45.8,639695.5,43,48
25,10,54.6,819533.8,50,60
26,10,62.8,1023325.5,60,66
27,10,69.8,1190794.0,67,74
28,10,84.0,1807881.1,75,93
29,10,111.6,2626435.1,94,144
