author,n_comments,comment_tokens,input_tokens_exclude_retries
pers1,67,1126,1033567
pers2,74,1243,1249166
pers3,61,1181,985129
pers4,55,1258,893197
pers5,92,2617,2261932
pers6,99,1876,2135236
pers7,82,1720,1692581
pers8,15,369,137681
pers9,26,873,330529
pers10,46,2879,1044404
pers11,60,1044,842670
pers12,73,1612,1345999
pers13,70,1408,1257322
pers14,60,1217,937517
pers15,37,865,468832
pers16,27,457,272200
pers17,67,1152,1034485
pers18,19,525,199717
pers19,46,783,576673
pers20,102,1834,2176940
pers21,50,899,691502
pers22,93,1970,2049265
pers23,62,1240,941149
pers24,51,1154,710239
pers25,144,2599,3964382
pers26,51,856,696502
pers27,63,1441,1077011
pers28,63,1283,964536
pers29,67,1339,1115516
pers30,43,918,587198
pers31,86,2389,1942388
pers32,58,1338,872004
pers33,136,2758,3892199
pers34,66,1249,1093640
pers35,128,2554,3400313
pers36,65,1394,1069262
pers37,75,2091,1628273
pers38,96,1748,1950310
pers39,117,1958,2661850
pers40,48,749,594293
pers41,34,849,452888
pers42,15,313,129642
pers43,4,73,26745
pers44,14,286,117142
pers45,25,544,247288
pers46,13,397,127972
pers47,5,82,33853
pers48,4,97,27922
pers49,40,1006,557048
pers50,20,568,194160
pers51,23,556,235833
pers52,16,354,138956
pers53,12,341,108185
pers54,33,457,330076
pers55,7,155,51467
pers56,4,94,27191
pers57,18,416,171316
pers58,15,304,128702
pers59,15,219,119650
pers60,13,288,105042
pers61,18,372,164850
pers62,4,53,26267
pers63,5,159,34489
pers64,5,132,35289
pers65,16,333,137287
pers66,23,365,211505
pers67,8,121,56851
pers68,9,171,66433
pers69,19,345,173944
pers70,4,171,31921
pers71,12,280,101545
pers72,8,193,58699
pers73,14,341,115603
pers74,16,402,148620
pers75,12,237,95029
pers76,12,312,100856
pers77,11,155,83771
pers78,10,240,77921
pers79,15,299,127948
pers80,13,373,116163
pers81,11,136,81059
pers82,7,163,54046
pers83,13,312,106398
pers84,10,208,78428
pers85,8,142,58568
pers86,2,34,11929
pers87,50,1375,846050
pers88,10,250,79711
pers89,16,407,147754
pers90,69,1322,1099926
pers91,16,390,150365
pers92,12,313,99679
pers93,20,310,181536
pers94,21,353,189748
pers95,8,181,59564
pers96,12,236,96620
pers97,25,594,275724
pers98,10,219,80481
pers99,17,307,149167
pers100,12,216,93490
pers101,11,255,87241
pers102,26,811,292269
pers103,6,74,40422
pers104,84,2053,1855520
pers105,13,285,107804
pers106,10,179,74646
pers107,40,5879,1307459
pers108,38,670,450032
pers109,3,74,20313
pers110,15,451,141181
pers111,17,336,156429
pers112,28,494,298657
pers113,20,828,227434
pers114,14,283,118365
pers115,9,177,67552
pers116,20,457,192027
pers117,18,299,150721
pers118,6,66,40356
pers119,21,608,230112
pers120,12,373,106952
pers121,96,1768,1962180
pers122,14,257,110801
pers123,14,200,109993
pers124,47,901,660163
pers125,18,460,179026
pers126,31,438,308160
pers127,6,111,41896
pers128,4,89,26801
pers129,33,653,369486
pers130,25,510,258045
pers131,14,256,112169
pers132,13,245,104480
pers133,12,247,98934
pers134,45,836,572859
pers135,4,105,28034
pers136,14,291,121652
pers137,19,441,168592
pers138,6,105,42157
pers139,17,367,153362
pers140,5,78,33035
pers141,12,301,97499
pers142,7,101,47767
pers143,16,273,141277
pers144,29,631,348756
pers145,42,880,554502
pers146,17,429,156761
pers147,18,320,159095
pers148,12,215,98701
pers149,8,172,59713
pers150,6,101,43026
pers151,25,411,239046
pers152,22,349,203897
pers153,29,525,300959
pers154,15,251,125849
pers155,15,418,139578
pers156,6,101,40155
pers157,4,76,25915
pers158,11,252,90093
pers159,48,832,608967
pers160,16,645,185325
pers161,16,252,133687
pers162,8,165,60039
pers163,17,429,148472
pers164,8,164,60290
pers165,16,346,144743
pers166,14,464,110004
pers167,10,176,72275
pers168,5,75,33830
pers169,18,490,191194
pers170,13,218,102437
pers171,34,584,372071
pers172,24,468,230605
pers173,21,411,195110
pers174,67,1520,1171623
pers175,22,454,223148
pers176,18,266,154570
pers177,22,348,200682
pers178,9,161,65836
pers179,16,364,143748
pers180,29,678,325577
pers181,11,266,88272
pers182,66,1397,1109846
pers183,10,251,80524
pers184,17,561,182215
pers185,9,155,65788
pers186,7,140,49191
pers187,3,36,19193
pers188,12,187,94377
pers189,13,224,101825
pers190,7,120,50320
pers191,60,1342,988430
pers192,9,289,67727
pers193,104,1706,2262218
pers194,14,227,114968
pers195,12,277,100787
pers196,4,127,28440
pers197,10,175,76666
pers198,12,249,102255
pers199,6,96,40893
pers200,28,698,317425
pers201,20,368,182174
pers202,16,349,142334
pers203,8,133,57282
pers204,17,422,160829
pers205,11,190,82793
pers206,73,1346,1242818
pers207,36,811,443128
pers208,6,154,42967
pers209,15,248,122265
pers210,32,476,327677
pers211,12,228,91863
pers212,18,278,158378
pers213,6,95,42042
pers214,10,264,80951
pers215,13,230,105665
pers216,26,517,257787
pers217,22,461,212340
pers218,13,218,106289
pers219,17,475,161264
pers220,7,169,53406
pers221,59,1080,907071
pers222,13,220,103272
pers223,13,244,106082
pers224,9,195,72522
pers225,55,1225,871016
pers226,84,1947,1771616
pers227,9,143,65336
pers228,19,674,195074
pers229,17,323,149439
pers230,21,386,190824
pers231,24,507,234693
pers232,75,1506,1350872
pers233,13,234,103937
pers234,6,120,43926
pers235,11,173,82406
pers236,8,215,63001
pers237,16,330,137862
pers238,8,210,60426
pers239,14,526,141190
pers240,92,2612,2263083
pers241,9,232,72676
pers242,14,313,111268
pers243,18,483,172397
pers244,21,381,190195
pers245,11,220,86019
pers246,43,807,556117
pers247,57,1132,865087
pers248,14,225,111853
pers249,17,382,155695
pers250,19,308,159080
pers251,94,1643,1858723
pers252,71,1742,1357518
pers253,33,719,387536
pers254,32,652,356524
pers255,4,92,27544
pers256,11,399,104448
pers257,13,192,102326
pers258,18,439,165767
pers259,25,542,256041
pers260,15,310,130096
pers261,21,434,208748
pers262,8,190,59472
pers263,9,221,72622
pers264,7,127,49112
pers265,17,418,161832
pers266,18,379,162302
pers267,12,208,94799
pers268,15,336,126397
pers269,11,219,85706
pers270,8,198,58332
pers271,12,222,98125
pers272,10,198,77269
pers273,18,322,155322
pers274,21,313,190965
pers275,14,288,117391
pers276,4,104,27486
pers277,9,254,67556
pers278,27,468,272855
pers279,8,181,58854
pers280,10,177,75781
pers281,14,360,116268
pers282,22,364,200472
pers283,15,573,136683
pers284,62,1473,1066735
pers285,8,230,61559
pers286,13,280,115952
pers287,19,421,183177
pers288,7,276,62994
pers289,12,271,102873
pers290,13,363,120540
pers291,10,237,76975
pers292,45,779,547050
pers293,12,391,113677
pers294,5,138,37000
pers295,12,210,96004
pers296,77,1230,1263281
pers297,16,333,139903
pers298,47,922,649231
pers299,10,563,97978
pers300,2,31,11557
