username,n_comments,top1_original_L0,top3_original_L0,top1_anonymized_L3,top3_anonymized_L3,L0_top1_ct,L0_top3_ct,L3_top1_ct,L3_top3_ct
ArtisticOrient,144,0.625000,0.875000,0.625000,0.750000,5/8,7/8,5/8,6/8
FlameFlamingo,136,0.875000,0.875000,0.750000,0.875000,7/8,7/8,6/8,7/8
RainbowChameleon,128,0.875000,1.000000,0.750000,0.875000,7/8,8/8,6/8,7/8
AmberConstellation,117,0.750000,0.875000,0.875000,0.875000,6/8,7/8,7/8,7/8
ZodiacZephyr,104,0.750000,0.875000,0.500000,0.750000,6/8,7/8,4/8,6/8
CometCuckoo,102,0.625000,0.750000,0.375000,0.750000,5/8,6/8,3/8,6/8
FluffyFennec,99,0.625000,0.875000,0.375000,0.750000,5/8,7/8,3/8,6/8
OmegaOtter,96,1.000000,1.000000,0.875000,1.000000,8/8,8/8,7/8,8/8
XylophoneXenon,96,0.750000,0.750000,0.750000,0.750000,6/8,6/8,6/8,6/8
PistachioPirate,94,0.750000,1.000000,0.750000,0.750000,6/8,8/8,6/8,6/8
FroggyFestival,93,0.500000,0.750000,0.500000,0.750000,4/8,6/8,4/8,6/8
CosmicBreadbasket,92,0.500000,0.750000,0.625000,0.750000,4/8,6/8,5/8,6/8
GiddyGator,92,0.500000,0.875000,0.500000,0.750000,4/8,7/8,4/8,6/8
PixelPegasus,86,0.750000,0.875000,0.625000,0.750000,6/8,7/8,5/8,6/8
EmeraldElephant,84,0.875000,0.875000,0.500000,0.750000,7/8,7/8,4/8,6/8
SaffronEmanation,84,0.750000,0.875000,0.875000,1.000000,6/8,7/8,7/8,8/8
FantasticallyFlora,82,0.750000,0.875000,0.625000,0.625000,6/8,7/8,5/8,5/8
RoyalRaccoon,77,0.750000,0.875000,0.500000,0.750000,6/8,7/8,4/8,6/8
MangoMeerkat,75,0.875000,1.000000,0.625000,0.750000,7/8,8/8,5/8,6/8
VioletVeil,75,0.625000,0.750000,0.500000,0.750000,5/8,6/8,4/8,6/8
CosmicCougar,74,0.500000,0.750000,0.500000,0.750000,4/8,6/8,4/8,6/8
StarlightSalamander,73,0.375000,0.750000,0.500000,0.750000,3/8,6/8,4/8,6/8
TruthTurtle,73,0.625000,0.875000,0.500000,0.625000,5/8,7/8,4/8,5/8
PolarisPioneer,71,0.625000,0.875000,0.875000,0.875000,5/8,7/8,7/8,7/8
WhisperWanderer,70,0.625000,0.750000,0.625000,0.750000,5/8,6/8,5/8,6/8
MiracleMagpie,69,0.875000,0.875000,0.375000,0.750000,7/8,7/8,3/8,6/8
MajorScribbler,67,0.375000,0.750000,0.375000,0.750000,3/8,6/8,3/8,6/8
RainbowRambler,67,0.250000,0.750000,0.375000,0.500000,2/8,6/8,3/8,4/8
RoseRider,67,0.625000,0.750000,0.500000,0.750000,5/8,6/8,4/8,6/8
SheerLuminary,67,0.625000,1.000000,0.625000,0.875000,5/8,8/8,5/8,7/8
DigitalPixie,66,0.625000,0.750000,0.750000,0.750000,5/8,6/8,6/8,6/8
MysticMatrix,66,0.250000,0.625000,0.375000,0.875000,2/8,5/8,3/8,7/8
GracefulGazelle,65,0.750000,0.875000,0.750000,0.875000,6/8,7/8,6/8,7/8
EnergeticEagle,63,0.875000,0.875000,0.625000,0.875000,7/8,7/8,5/8,7/8
StarrySplatter,63,0.750000,0.875000,0.875000,0.875000,6/8,7/8,7/8,7/8
FeatherFlamingo,62,0.625000,0.750000,0.625000,0.625000,5/8,6/8,5/8,5/8
ObliviousMetropolis,62,0.500000,0.750000,0.500000,0.625000,4/8,6/8,4/8,5/8
ArcticMirage,61,0.750000,0.875000,0.750000,0.875000,6/8,7/8,6/8,7/8
PapillionPancake,60,0.625000,0.875000,0.375000,0.625000,5/8,7/8,3/8,5/8
ShadowPirate,60,0.875000,1.000000,0.625000,0.750000,7/8,8/8,5/8,6/8
VelvetMorning,60,0.625000,0.750000,0.750000,0.750000,5/8,6/8,6/8,6/8
SilentEmissary,59,0.625000,0.750000,0.750000,0.750000,5/8,6/8,6/8,6/8
MelodicRaven,58,0.500000,0.625000,0.500000,0.625000,4/8,5/8,4/8,5/8
CygnusCipher,57,0.625000,0.875000,0.375000,0.625000,5/8,7/8,3/8,5/8
SpiralSphinx,55,0.500000,0.625000,0.375000,0.625000,4/8,5/8,3/8,5/8
TemporalTigress,55,0.750000,0.750000,0.625000,0.750000,6/8,6/8,5/8,6/8
RainRaccoon,51,0.375000,0.750000,0.125000,0.625000,3/8,6/8,1/8,5/8
InfinitesimalComet,50,0.750000,0.875000,0.500000,0.750000,6/8,7/8,4/8,6/8
CosmicStoryteller,46,0.625000,0.750000,0.750000,0.750000,5/8,6/8,6/8,6/8
UpliftingUnicorn,40,0.750000,0.875000,0.500000,0.750000,6/8,7/8,4/8,6/8
