rank,username,n_comments
1,ArtisticOrient,144
2,FlameFlamingo,136
3,RainbowChameleon,128
4,AmberConstellation,117
5,ZodiacZephyr,104
6,CometCuckoo,102
7,FluffyFennec,99
8,OmegaOtter,96
9,XylophoneXenon,96
10,PistachioPirate,94
11,FroggyFestival,93
12,CosmicBreadbasket,92
13,GiddyGator,92
14,PixelPegasus,86
15,EmeraldElephant,84
16,SaffronEmanation,84
17,FantasticallyFlora,82
18,RoyalRaccoon,77
19,MangoMeerkat,75
20,VioletVeil,75
21,CosmicCougar,74
22,StarlightSalamander,73
23,TruthTurtle,73
24,PolarisPioneer,71
25,WhisperWanderer,70
26,MiracleMagpie,69
27,MajorScribbler,67
28,RainbowRambler,67
29,RoseRider,67
30,SheerLuminary,67
31,DigitalPixie,66
32,MysticMatrix,66
33,GracefulGazelle,65
34,EnergeticEagle,63
35,StarrySplatter,63
36,FeatherFlamingo,62
37,ObliviousMetropolis,62
38,ArcticMirage,61
39,PapillionPancake,60
40,ShadowPirate,60
41,VelvetMorning,60
42,SilentEmissary,59
43,MelodicRaven,58
44,CygnusCipher,57
45,SpiralSphinx,55
46,TemporalTigress,55
47,RainRaccoon,51
48,InfinitesimalComet,50
49,CosmicStoryteller,46
50,UpliftingUnicorn,40
